
SimulationName	Date	Day	Month	Year	JulianDay	idCell	idVoxel	x	y	z	theta	mineralNitrogenStock	cropRootDensity	cropWaterUptake	cropNitrogenUptake	totalTreeCoarseRootBiomass	totalTreeRootDensity	totalTreeWaterUptake	totalTreeNitrogenUptake	fineRootCost	colonisationDirection_1	treeCoarseRootBiomass_1	treeRootDensity_1
forestry	1/8/1994	1	8	1994	213	4	44	5.00000e-01	1.50000e+00	1.50000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	4	45	5.00000e-01	1.50000e+00	1.70000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	4	46	5.00000e-01	1.50000e+00	1.90000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	4	47	5.00000e-01	1.50000e+00	2.10000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	4	48	5.00000e-01	1.50000e+00	2.30000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	49	1.50000e+00	1.50000e+00	1.00000e-01	1.53191e-01	2.35887e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	50	1.50000e+00	1.50000e+00	3.00000e-01	1.80961e-01	1.50000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	51	1.50000e+00	1.50000e+00	5.00000e-01	2.99514e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	52	1.50000e+00	1.50000e+00	7.00000e-01	3.00000e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	53	1.50000e+00	1.50000e+00	9.00000e-01	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	54	1.50000e+00	1.50000e+00	1.10000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	55	1.50000e+00	1.50000e+00	1.30000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	56	1.50000e+00	1.50000e+00	1.50000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	57	1.50000e+00	1.50000e+00	1.70000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	58	1.50000e+00	1.50000e+00	1.90000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	59	1.50000e+00	1.50000e+00	2.10000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	5	60	1.50000e+00	1.50000e+00	2.30000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	61	2.50000e+00	1.50000e+00	1.00000e-01	1.53180e-01	2.35888e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	62	2.50000e+00	1.50000e+00	3.00000e-01	1.80957e-01	1.50000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	63	2.50000e+00	1.50000e+00	5.00000e-01	2.99513e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	64	2.50000e+00	1.50000e+00	7.00000e-01	3.00000e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	65	2.50000e+00	1.50000e+00	9.00000e-01	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	66	2.50000e+00	1.50000e+00	1.10000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	67	2.50000e+00	1.50000e+00	1.30000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	68	2.50000e+00	1.50000e+00	1.50000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	69	2.50000e+00	1.50000e+00	1.70000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	70	2.50000e+00	1.50000e+00	1.90000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	6	71	2.50000e+00	1.50000e+00	2.10000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
